epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
86,128.612,0.476,0.4389,0.88859,0.97454,1,0.995,0.91448,0.43801,0.28561,0.98309,0.000176094,0.000176094,0.000176094
87,129.429,0.43385,0.35087,0.88577,0.97454,1,0.995,0.91448,0.43801,0.28561,0.98309,0.000165095,0.000165095,0.000165095
88,130.509,0.52002,0.44329,0.95276,0.97454,1,0.995,0.91448,0.43801,0.28561,0.98309,0.000154096,0.000154096,0.000154096
89,131.407,0.48614,0.39479,0.89359,0.97454,1,0.995,0.91448,0.43801,0.28561,0.98309,0.000143097,0.000143097,0.000143097
90,132.436,0.4527,0.4551,0.89543,0.9813,1,0.995,0.92663,0.42366,0.28932,0.98268,0.000132098,0.000132098,0.000132098
91,133.808,0.49131,0.37248,1.00035,0.9813,1,0.995,0.92663,0.42366,0.28932,0.98268,0.000121099,0.000121099,0.000121099
92,135.169,0.46645,0.40702,0.96349,0.9813,1,0.995,0.92663,0.42366,0.28932,0.98268,0.0001101,0.0001101,0.0001101
93,136.504,0.52332,0.41518,0.99533,0.9813,1,0.995,0.92663,0.42366,0.28932,0.98268,9.91012e-05,9.91012e-05,9.91012e-05
94,137.628,0.53732,0.38528,1.00694,0.9399,1,0.995,0.94437,0.41217,0.30043,0.9816,8.81023e-05,8.81023e-05,8.81023e-05
95,139.035,0.53871,0.43775,0.99399,0.9399,1,0.995,0.94437,0.41217,0.30043,0.9816,7.71034e-05,7.71034e-05,7.71034e-05
96,141.36,0.50043,0.39522,0.96229,0.9399,1,0.995,0.94437,0.41217,0.30043,0.9816,6.61045e-05,6.61045e-05,6.61045e-05
97,143.726,0.47997,0.38736,1.00386,0.9399,1,0.995,0.94437,0.41217,0.30043,0.9816,5.51056e-05,5.51056e-05,5.51056e-05
98,146.141,0.51124,0.39645,1.01756,0.97716,1,0.995,0.95097,0.40892,0.28087,0.98285,4.41067e-05,4.41067e-05,4.41067e-05
99,148.559,0.49407,0.40384,0.94419,0.97716,1,0.995,0.95097,0.40892,0.28087,0.98285,3.31078e-05,3.31078e-05,3.31078e-05
100,150.926,0.47015,0.40218,0.91082,0.97716,1,0.995,0.95097,0.40892,0.28087,0.98285,2.21089e-05,2.21089e-05,2.21089e-05
